date,year,month,hour,season,weekday,is_holiday,working_day,weather_sit,is_covid,temp,wind,humidity,total_count
2018-01-08,2018,1,8,1,0,0,1,2.0,0,-1.938621864349881,0.15838531416539592,-1.1780137977116791,717.0
2018-01-08,2018,1,9,1,0,0,1,2.0,0,-1.8350557078408147,-0.08897457254025733,-1.12491585825409,306.0
2018-01-08,2018,1,10,1,0,0,1,2.0,0,-1.6279233948226821,0.6531050875767024,-1.12491585825409,154.0
2018-01-08,2018,1,11,1,0,0,1,2.0,0,-1.5243572383136157,-0.3363344592459106,-1.4435034949996244,152.0
2018-01-08,2018,1,12,1,0,0,1,2.0,0,-1.4207910818045495,0.15838531416539592,-1.5496993739148024,236.0
2018-01-08,2018,1,13,1,0,0,1,2.0,0,-1.3172249252954833,-0.3363344592459106,-1.3904055555420354,188.0
2018-01-08,2018,1,14,1,0,0,1,2.0,0,-1.3172249252954833,0.6531050875767024,-0.8594261609661448,201.0
2018-01-08,2018,1,15,1,0,0,1,2.0,0,-1.3172249252954833,0.15838531416539592,-0.6470344031357885,206.0
2018-01-08,2018,1,16,1,0,0,1,2.0,0,-1.4207910818045495,-0.08897457254025733,0.5742182043887598,304.0
2018-01-08,2018,1,17,1,0,0,1,2.0,0,-1.4207910818045495,-0.08897457254025733,0.8928058411342941,401.0
2018-01-08,2018,1,18,1,0,0,1,2.0,0,-1.3172249252954833,-0.831054232657217,1.2113934778798285,221.0
2018-01-08,2018,1,19,1,0,0,1,2.0,0,-1.2136587687864169,-0.3363344592459106,1.5299811146253628,131.0
2018-01-08,2018,1,20,1,0,0,1,1.0,0,-1.2136587687864169,-0.3363344592459106,1.9016666908284863,68.0
2018-01-08,2018,1,21,1,0,0,1,2.0,0,-1.1100926122773507,0.40574520087104915,1.5299811146253628,62.0
2018-01-08,2018,1,22,1,0,0,1,2.0,0,-1.2136587687864169,-0.831054232657217,1.9016666908284863,44.0
2018-01-08,2018,1,23,1,0,0,1,2.0,0,-1.2136587687864169,-0.3363344592459106,1.9016666908284863,24.0
2018-01-09,2018,1,0,1,1,0,1,2.0,0,-1.2136587687864169,-1.6968138361270033,1.5299811146253628,24.0
2018-01-09,2018,1,1,1,1,0,1,1.0,0,-1.3172249252954833,-0.831054232657217,1.5299811146253628,5.0
